energy,error,flux
2.25,0.0,23428.29
2.26,0.0,23428.29
2.27,0.0,23428.29
2.28,0.0,21736.34
2.2899999999999996,0.0,21736.34
2.3,0.0,21736.34
2.32,0.0,21624.460000000003
2.3299999999999996,0.0,21624.460000000003
2.34,0.0,21624.460000000003
2.35,0.0,22637.01
2.36,0.0,22637.01
2.37,0.0,22637.01
2.38,0.0,25484.25
2.3899999999999997,0.0,25484.25
2.4,0.0,25484.25
2.41,0.0,25893.840000000004
2.42,0.0,25893.840000000004
2.43,0.0,25893.840000000004
2.45,0.0,25277.070000000003
2.46,0.0,25277.070000000003
2.47,0.0,25277.070000000003
2.48,0.0,22782.539999999997
2.49,0.0,22782.539999999997
2.5,0.0,22782.539999999997
2.51,0.0,19885.36
2.5199999999999996,0.0,19885.36
2.53,0.0,19885.36
2.55,0.0,15981.059999999998
2.5599999999999996,0.0,15981.059999999998
2.57,0.0,15981.059999999998
2.58,0.0,13706.62
2.59,0.0,13706.62
2.6,0.0,13706.62
2.61,0.0,12248.69
2.6199999999999997,0.0,12248.69
2.63,0.0,12248.69
2.64,0.0,12166.83
2.65,0.0,12166.83
2.66,0.0,12166.83
2.68,0.0,10493.41
2.69,0.0,10493.41
2.7,0.0,10493.41
2.71,0.0,9620.7
2.72,0.0,9620.7
2.73,0.0,9620.7
2.74,0.0,9042.03
2.75,0.0,9042.03
2.76,0.0,9042.03
2.78,0.0,9197.409999999998
2.7899999999999996,0.0,9197.409999999998
2.8,0.0,9197.409999999998
2.81,0.0,8490.433
2.82,0.0,8490.433
2.83,0.0,8490.433
2.84,0.0,8277.960000000001
2.8499999999999996,0.0,8277.960000000001
2.86,0.0,8277.960000000001
2.88,0.0,7883.428000000001
2.8899999999999997,0.0,7883.428000000001
2.9,0.0,7883.428000000001
2.91,0.0,8150.786
2.92,0.0,8150.786
2.93,0.0,8150.786
2.94,0.0,7326.286
2.9499999999999997,0.0,7326.286
2.96,0.0,7326.286
2.97,0.0,7177.712
2.98,0.0,7177.712
2.99,0.0,7177.712
3.01,0.0,6941.164999999999
3.0199999999999996,0.0,6941.164999999999
3.03,0.0,6941.164999999999
3.04,0.0,7286.039999999999
3.05,0.0,7286.039999999999
3.06,0.0,7286.039999999999
3.07,0.0,7101.481000000001
3.0799999999999996,0.0,7101.481000000001
3.09,0.0,7101.481000000001
3.11,0.0,7237.722
3.1199999999999997,0.0,7237.722
3.13,0.0,7237.722
3.14,0.0,6807.279999999999
3.15,0.0,6807.279999999999
3.16,0.0,6807.279999999999
3.17,0.0,6562.209
3.1799999999999997,0.0,6562.209
3.19,0.0,6562.209
3.21,0.0,5696.004
3.22,0.0,5696.004
3.23,0.0,5696.004
3.24,0.0,4945.830999999999
3.25,0.0,4945.830999999999
3.26,0.0,4945.830999999999
3.27,0.0,4634.42
3.28,0.0,4634.42
3.29,0.0,4634.42
3.31,0.0,4595.878
3.32,0.0,4595.878
3.33,0.0,4595.878
3.34,0.0,4171.925
3.3499999999999996,0.0,4171.925
3.36,0.0,4171.925
3.37,0.0,3958.458000000001
3.38,0.0,3958.458000000001
3.39,0.0,3958.458000000001
3.4,0.0,3919.369
3.4099999999999997,0.0,3919.369
3.42,0.0,3919.369
3.44,0.0,3903.554
3.4499999999999997,0.0,3903.554
3.46,0.0,3903.554
3.47,0.0,3602.612
3.48,0.0,3602.612
3.49,0.0,3602.612
3.5,0.0,3497.154
3.51,0.0,3497.154
3.52,0.0,3497.154
3.54,0.0,3335.284000000001
3.55,0.0,3335.284000000001
3.56,0.0,3335.284000000001
3.57,0.0,3261.481
3.5799999999999996,0.0,3261.481
3.59,0.0,3261.481
3.6,0.0,2970.763
3.61,0.0,2970.763
3.62,0.0,2970.763
3.63,0.0,2868.12
3.64,0.0,2868.12
3.65,0.0,2868.12
3.67,0.0,2904.019
3.68,0.0,2904.019
3.69,0.0,2904.019
3.7,0.0,2843.7879999999996
3.71,0.0,2843.7879999999996
3.72,0.0,2843.7879999999996
3.73,0.0,2836.4410000000003
3.74,0.0,2836.4410000000003
3.75,0.0,2836.4410000000003
3.77,0.0,3106.452
3.78,0.0,3106.452
3.79,0.0,3106.452
3.8,0.0,3532.157
3.81,0.0,3532.157
3.82,0.0,3532.157
3.83,0.0,3894.487
3.84,0.0,3894.487
3.85,0.0,3894.487
3.87,0.0,3971.709
3.88,0.0,3971.709
3.89,0.0,3971.709
3.9,0.0,3750.820999999999
3.91,0.0,3750.820999999999
3.92,0.0,3750.820999999999
3.93,0.0,3377.624
3.94,0.0,3377.624
3.95,0.0,3377.624
3.96,0.0,2752.341
3.97,0.0,2752.341
3.98,0.0,2752.341
4.0,0.0,2180.792
4.01,0.0,2180.792
4.02,0.0,2180.792
4.03,0.0,1845.5
4.04,0.0,1845.5
4.05,0.0,1845.5
4.06,0.0,1782.021
4.069999999999999,0.0,1782.021
4.079999999999999,0.0,1782.021
4.1,0.0,1669.2409999999998
4.109999999999999,0.0,1669.2409999999998
4.119999999999999,0.0,1669.2409999999998
4.13,0.0,1541.265
4.14,0.0,1541.265
4.1499999999999995,0.0,1541.265
4.16,0.0,1512.3429999999998
4.17,0.0,1512.3429999999998
4.18,0.0,1512.3429999999998
4.2,0.0,1497.7803
4.21,0.0,1497.7803
4.22,0.0,1497.7803
4.23,0.0,1413.1568
4.24,0.0,1413.1568
4.25,0.0,1413.1568
4.26,0.0,1359.7000000000005
4.27,0.0,1359.7000000000005
4.279999999999999,0.0,1359.7000000000005
4.3,0.0,1254.774
4.31,0.0,1254.774
4.319999999999999,0.0,1254.774
4.33,0.0,1259.2968
4.34,0.0,1259.2968
4.35,0.0,1259.2968
4.36,0.0,1165.2051
4.37,0.0,1165.2051
4.38,0.0,1165.2051
4.39,0.0,1121.3948
4.3999999999999995,0.0,1121.3948
4.409999999999999,0.0,1121.3948
4.43,0.0,1135.158
4.4399999999999995,0.0,1135.158
4.449999999999999,0.0,1135.158
4.46,0.0,1146.809
4.47,0.0,1146.809
4.4799999999999995,0.0,1146.809
4.49,0.0,1145.1341000000002
4.5,0.0,1145.1341000000002
4.51,0.0,1145.1341000000002
4.53,0.0,1097.1493
4.54,0.0,1097.1493
4.55,0.0,1097.1493
4.56,0.0,985.5841
4.569999999999999,0.0,985.5841
4.579999999999999,0.0,985.5841
4.59,0.0,1068.989
4.6,0.0,1068.989
4.609999999999999,0.0,1068.989
4.62,0.0,919.5847
4.63,0.0,919.5847
4.64,0.0,919.5847
4.66,0.0,894.2526
4.67,0.0,894.2526
4.68,0.0,894.2526
4.69,0.0,858.4639999999999
4.7,0.0,858.4639999999999
4.71,0.0,858.4639999999999
4.72,0.0,928.1068
4.7299999999999995,0.0,928.1068
4.739999999999999,0.0,928.1068
4.76,0.0,827.6282
4.77,0.0,827.6282
4.779999999999999,0.0,827.6282
4.79,0.0,782.1129000000001
4.8,0.0,782.1129000000001
4.81,0.0,782.1129000000001
4.82,0.0,728.8750999999999
4.83,0.0,728.8750999999999
4.84,0.0,728.8750999999999
4.86,0.0,733.3309000000002
4.87,0.0,733.3309000000002
4.88,0.0,733.3309000000002
4.89,0.0,684.3449
4.8999999999999995,0.0,684.3449
4.909999999999999,0.0,684.3449
4.92,0.0,666.968
4.93,0.0,666.968
4.9399999999999995,0.0,666.968
4.95,0.0,613.2933
4.96,0.0,613.2933
4.97,0.0,613.2933
4.99,0.0,640.8859
5.0,0.0,640.8859
5.01,0.0,640.8859
5.02,0.0,563.7854
5.029999999999999,0.0,563.7854
5.039999999999999,0.0,563.7854
5.05,0.0,563.6455
5.06,0.0,563.6455
5.069999999999999,0.0,563.6455
5.09,0.0,550.1464
5.1,0.0,550.1464
5.109999999999999,0.0,550.1464
5.12,0.0,504.7697
5.13,0.0,504.7697
5.14,0.0,504.7697
5.15,0.0,507.4278000000001
5.16,0.0,507.4278000000001
5.17,0.0,507.4278000000001
5.19,0.0,454.6131
5.2,0.0,454.6131
5.21,0.0,454.6131
5.22,0.0,441.1341000000001
5.2299999999999995,0.0,441.1341000000001
