 V0_LATITUDE,V0_LONGITUDE, V1_LATITUDE,V1_LONGITUDE, V2_LATITUDE,V2_LONGITUDE, V3_LATITUDE,V3_LONGITUDE,       MG_WT,  MG_FIT_UNC,  MG_SYS_UNC,  MG_TOT_UNC,       AL_WT,  AL_FIT_UNC,  AL_SYS_UNC,  AL_TOT_UNC,       SI_WT,  SI_FIT_UNC,  SI_SYS_UNC,  SI_TOT_UNC,       FE_WT,  FE_FIT_UNC,  FE_SYS_UNC,  FE_TOT_UNC
       40.66,      148.28,       34.94,      148.32,       34.94,      149.34,       40.66,      149.40,        4.83,        0.27,        1.32,        1.35,       17.02,        0.40,        3.63,        3.65,       16.39,        0.48,        4.38,        4.40,        3.66,        0.00,        4.10,        4.10
       64.95,      147.88,       59.20,      148.02,       59.20,      149.79,       64.94,      150.05,        4.02,        0.39,        1.32,        1.38,       17.76,        0.59,        3.63,        3.68,       18.20,        0.70,        4.38,        4.43,        3.49,        0.00,        4.10,        4.10
       74.60,      147.38,       68.85,      147.73,       68.84,      150.30,       74.59,      150.93,        4.56,        0.56,        1.32,        1.43,       17.16,        0.81,        3.63,        3.72,       20.28,        0.98,        4.38,        4.49,        3.53,        0.00,        4.10,        4.10
       79.41,      146.81,       73.66,      147.45,       73.65,      150.80,       79.40,      151.99,        4.82,        0.63,        1.32,        1.46,       18.57,        0.92,        3.63,        3.75,       17.86,        1.11,        4.38,        4.52,        3.32,        0.00,        4.10,        4.10
      -78.45,       82.77,      -84.09,       74.85,      -84.27,       83.41,      -78.54,       87.16,        5.26,        0.66,        1.32,        1.48,       16.10,        1.03,        3.63,        3.78,       18.40,        1.22,        4.38,        4.54,        3.74,        0.00,        4.10,        4.10
      -73.61,       85.19,      -79.32,       82.10,      -79.42,       86.84,      -73.68,       88.29,        4.45,        0.37,        1.32,        1.37,       17.22,        0.66,        3.63,        3.69,       19.10,        0.76,        4.38,        4.44,        3.55,        0.00,        4.10,        4.10
      -68.76,       86.52,      -74.48,       84.87,      -74.55,       88.13,      -68.81,       88.92,        5.27,        0.36,        1.32,        1.37,       14.56,        0.57,        3.63,        3.68,       19.61,        0.68,        4.38,        4.43,        4.89,        0.00,        4.10,        4.10
      -63.89,       87.35,      -69.62,       86.33,      -69.68,       88.82,      -63.93,       89.32,        5.35,        0.32,        1.32,        1.36,       15.68,        0.51,        3.63,        3.67,       18.80,        0.60,        4.38,        4.42,        4.57,        0.00,        4.10,        4.10
      -59.02,       87.93,      -64.75,       87.23,      -64.80,       89.25,      -59.05,       89.60,        6.11,        0.32,        1.32,        1.36,       15.30,        0.48,        3.63,        3.66,       18.06,        0.57,        4.38,        4.41,        5.00,        0.00,        4.10,        4.10
      -49.26,       88.68,      -55.00,       88.29,      -55.03,       89.78,      -49.29,       89.99,        5.82,        0.26,        1.32,        1.35,       14.96,        0.39,        3.63,        3.65,       16.16,        0.47,        4.38,        4.40,        5.89,        0.00,        4.10,        4.10
       48.28,       91.06,       42.51,       90.90,       42.49,       92.15,       48.25,       92.45,        6.59,        0.45,        1.32,        1.39,       18.09,        0.68,        3.63,        3.70,       17.77,        0.81,        4.38,        4.45,        3.48,        0.00,        4.10,        4.10
       67.61,       91.99,       61.84,       91.59,       61.80,       93.60,       67.56,       94.50,        4.71,        0.64,        1.32,        1.47,       18.59,        1.07,        3.63,        3.79,       17.30,        1.25,        4.38,        4.55,        3.17,        0.00,        4.10,        4.10
       72.43,       92.50,       66.66,       91.90,       66.61,       94.32,       72.37,       95.69,        5.24,        0.85,        1.32,        1.57,       19.63,        1.39,        3.63,        3.89,       17.44,        1.63,        4.38,        4.67,        2.90,        0.00,        4.10,        4.10
